Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:39:33.867370'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:40:44.299970'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:40:44.989337'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:40:46.917681'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:40:48.647949'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:40:49.665251'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 1], 'timestamp': '2025-12-18T18:40:50.712912'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:40:52.649133'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:40:53.809055'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-18T18:40:55.161960'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:40:56.240367'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:40:57.604307'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:40:58.855614'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:40:59.390758'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:01.133934'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:41:02.896541'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:03.782657'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:41:04.929434'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 3], 'timestamp': '2025-12-18T18:41:06.221830'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:41:08.190096'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:09.631444'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:41:10.322275'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-18T18:41:11.348021'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:41:12.840326'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:41:14.582708'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:41:15.154229'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:16.756179'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-18T18:41:17.471417'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:41:17.996240'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:41:18.919506'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:41:20.345850'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:41:21.994517'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:41:22.844796'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:41:23.442125'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:41:25.001483'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:26.743015'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:41:27.514969'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:28.255819'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:41:29.929706'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-18T18:41:31.005840'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:31.596416'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:41:33.270818'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:41:34.473625'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:41:35.304693'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 1], 'timestamp': '2025-12-18T18:41:35.922151'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:41:36.648751'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 3], 'timestamp': '2025-12-18T18:41:38.167014'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 2], 'timestamp': '2025-12-18T18:41:39.444456'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:40.094969'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:41:41.537659'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:41:43.339524'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:41:44.481631'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-18T18:41:46.311125'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:41:47.264187'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:41:48.244903'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-18T18:41:49.258567'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:41:50.490172'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:41:51.531694'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:41:53.109483'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:41:54.470981'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:41:56.316803'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:41:57.866754'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:41:58.784630'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-18T18:42:00.465034'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:42:01.013384'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:42:02.671412'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:42:03.793507'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:42:05.528421'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:42:07.339136'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:42:08.744419'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:42:09.422180'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:42:10.009174'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:42:11.449939'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:42:12.133270'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:42:13.452338'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:42:15.450381'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:42:16.380083'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:42:17.780182'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:42:19.357330'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:42:20.313572'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:42:21.062746'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:42:22.579110'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:42:23.766353'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:42:25.163651'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:42:25.722547'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:42:27.521451'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 2], 'timestamp': '2025-12-18T18:42:29.272549'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:42:29.880311'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:42:30.602317'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:42:32.234200'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:42:33.226377'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:42:33.892406'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:42:34.753166'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:42:35.921999'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:42:36.760631'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:42:37.754012'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:42:39.714950'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 4], 'timestamp': '2025-12-18T18:42:41.286252'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:42:42.769036'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 4], 'timestamp': '2025-12-18T18:42:43.827010'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:42:45.119380'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-18T18:42:46.976660'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 1], 'timestamp': '2025-12-18T18:42:48.061246'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:42:49.766709'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:42:50.906853'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:42:52.707945'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:42:54.443963'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:42:56.307187'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:42:58.280383'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:42:59.938462'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:43:01.619779'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:43:02.277229'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:43:03.704344'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:43:05.612005'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:43:07.422936'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:43:09.330770'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:43:10.955248'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-18T18:43:12.080411'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:43:14.069909'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 3], 'timestamp': '2025-12-18T18:43:14.652224'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:43:15.745766'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:43:17.508092'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-18T18:43:19.149276'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:43:20.661788'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:43:22.334337'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:43:23.627735'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:43:24.971417'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:43:25.801820'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:43:27.136489'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:43:28.364339'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:43:29.596751'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:43:31.107176'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:43:32.747316'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:43:33.501750'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-18T18:43:34.926032'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:43:36.377259'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:43:38.231100'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-18T18:43:39.890500'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 1], 'timestamp': '2025-12-18T18:43:41.550481'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:43:42.579439'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 1], 'timestamp': '2025-12-18T18:43:43.516877'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:43:44.588818'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:43:45.980457'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 1], 'timestamp': '2025-12-18T18:43:47.151757'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 3], 'timestamp': '2025-12-18T18:43:49.007506'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:43:50.053311'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 3], 'timestamp': '2025-12-18T18:43:51.406233'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:43:53.252230'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:43:55.181606'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:43:56.931439'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 4], 'timestamp': '2025-12-18T18:43:58.015656'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 0], 'timestamp': '2025-12-18T18:43:58.545131'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 2], 'timestamp': '2025-12-18T18:43:59.119471'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:43:59.845152'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 2], 'timestamp': '2025-12-18T18:44:00.798016'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:44:02.318300'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 3], 'timestamp': '2025-12-18T18:44:03.314122'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:44:04.294883'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:44:06.149058'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:44:08.092154'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:44:09.372545'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:44:10.834332'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:44:12.082306'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:44:14.032767'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:44:15.973176'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:44:16.819195'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 1], 'timestamp': '2025-12-18T18:44:18.297259'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 3], 'timestamp': '2025-12-18T18:44:19.097791'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:44:19.925931'}
Dot created: {'event_type': 'dot_appeared', 'position': [3, 4], 'timestamp': '2025-12-18T18:44:21.192479'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:44:21.826813'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:44:23.699046'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 0], 'timestamp': '2025-12-18T18:44:24.881150'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 0], 'timestamp': '2025-12-18T18:44:26.820717'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:44:28.411795'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 1], 'timestamp': '2025-12-18T18:44:29.087200'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:44:30.124503'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 4], 'timestamp': '2025-12-18T18:44:31.668455'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 2], 'timestamp': '2025-12-18T18:44:32.799443'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 2], 'timestamp': '2025-12-18T18:44:33.326597'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:44:34.890214'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:44:36.840472'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:44:38.187582'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 4], 'timestamp': '2025-12-18T18:44:39.172617'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 3], 'timestamp': '2025-12-18T18:44:40.256210'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:44:41.615219'}
Dot created: {'event_type': 'dot_appeared', 'position': [4, 1], 'timestamp': '2025-12-18T18:44:42.121163'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 0], 'timestamp': '2025-12-18T18:44:42.961597'}
Dot created: {'event_type': 'dot_appeared', 'position': [2, 4], 'timestamp': '2025-12-18T18:44:44.249840'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 3], 'timestamp': '2025-12-18T18:44:44.830775'}
Dot created: {'event_type': 'dot_appeared', 'position': [1, 2], 'timestamp': '2025-12-18T18:44:45.333615'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 0], 'timestamp': '2025-12-18T18:44:46.956256'}
Dot created: {'event_type': 'dot_appeared', 'position': [0, 4], 'timestamp': '2025-12-18T18:44:48.435887'}
